867	850	3	34.98
1256	109	4	16.1
105	2718	3	11.21
107	462	4	6.1
119	1263	3	15.27
116	358	6	19.87
104	834	4	7.46
1269	101	5	7.16
279	101	11	4.95
116	477	8	35.7
108	1444	4	16.4
105	360	6	7.74
1485	1696	6	98.06
1282	105	3	6.58
105	479	20	84.35
712	103	4	6.14
936	101	5	4.56
2493	115	3	16.82
838	106	14	65.9
312	101	24	43.89
782	8	3	14.31
16	2	47	158.66
57	2828	3	23.29
103	2130	3	9.42
115	2939	3	18.42
1247	105	3	6.58
966	101	10	22.68
111	1529	3	12.81
4136	101	5	21.87
571	107	6	15.63
192	2328	3	32.4
110	3417	3	17.58
104	5361	3	17.64
115	150	5	4.02
4794	104	3	15.46
1083	104	3	5.53
1403	102	3	5.14
109	2619	3	15.16
115	397	4	10.2
101	2125	3	4.49
120	7307	3	31.85
3511	12	3	9.01
1518	12	8	27.07
101	4297	3	9.83
113	891	5	21.55
102	570	5	5.31
3080	104	3	11.76
731	209	3	25.56
104	1797	3	8.1
1135	101	7	13.18
812	14	7	13.74
2305	101	4	8.25
109	777	10	49.78
119	317	3	7.37
108	474	7	21.5
3866	112	5	41.41
206	1983	3	31.79
8	2364	3	21.65
129	178	4	13.38
415	14	50	279.47
163	189	5	28.17
1455	115	8	53.79
107	3893	3	16.05
105	1449	3	7.21
129	229	9	52.26
2821	1316	3	46.53
116	184	8	18.52
1385	103	4	11.33
119	1518	3	16.37
115	6139	4	38.57
3386	101	3	7.27
105	229	23	67.01
168	105	13	12.99
5753	101	3	11.92
105	178	23	47.56
1052	101	10	24.57
133	541	3	17.23
1091	109	3	9.41
1794	113	3	13.87
2806	102	3	8.94
106	1058	6	19.55
110	2527	4	22.75
101	3609	5	21.87
120	361	4	13.14
122	2393	3	20.95
102	1221	6	16.51
190	109	12	27.76
102	1264	6	17.17
128	754	7	53.12
170	120	13	48.3
105	685	12	45.62
122	244	3	7.21
105	617	15	61.09
101	1169	7	13.88
101	1320	7	15.45
101	1252	5	7.16
105	2512	5	23.67
102	7938	3	19.96
2867	101	4	11.17
110	2960	5	34.58
1569	101	4	5.82
192	3687	3	36.29
102	963	5	9.71
114	106	112	78.36
102	912	5	9
102	7173	3	19.96
143	327	4	23.67
105	3171	4	20.42
101	2638	3	5.65
1318	103	3	6.46
240	1141	4	41.78
483	101	20	47.2
419	1935	3	36.01
1953	14	4	10.76
103	238	12	19.46
12	1461	10	38.24
101	4810	3	9.83
102	2177	4	12.7
102	2297	4	12.7
650	109	3	6.48
243	160	4	23.21
101	558	19	48.45
118	305	6	21.92
401	385	3	25.93
105	1708	9	49.12
118	158	38	207.08
140	125	4	6.4
109	6591	3	26.47
2245	12	3	6.07
101	160	32	20.67
3004	103	4	18.31
1864	101	6	15.58
108	2403	3	13.92
751	101	14	34.6
105	3530	3	13.01
2355	103	3	10.05
101	3045	3	6.38
135	103	18	10.72
1466	101	4	4.94
3987	115	3	20.65
162	205	27	256.27
3563	101	3	7.27
101	5065	3	11.92
1318	6551	3	57.11
131	1325	4	32.34
109	2878	4	24.3
105	2205	4	15.75
2973	103	3	11.57
102	1987	5	17.47
2749	101	4	10.03
9	14	246	632.07
1227	14	7	19.58
105	4376	3	15.74
123	1019	4	23.64
106	245	7	6.83
5405	101	4	21.71
1435	101	7	16.33
