997	116	11	14.45
106	805	24	22.73
867	850	4	24.48
228	531	3	6.71
183	104	79	8.81
12	884	24	12.61
1194	3030	3	27.19
1768	102	12	7.67
429	268	3	6.84
323	4807	3	23.29
475	401	4	14.4
576	277	3	8.56
328	624	3	9.46
14	116	1392	11.92
1398	192	17	150.8
1811	114	7	9.18
107	513	32	28.28
624	504	5	25.06
2099	118	5	7.74
7227	114	3	10.67
45	551	3	8.97
446	102	39	12.98
177	1693	3	10.96
122	4256	5	24.38
107	6570	3	6.95
125	1448	5	9.14
339	235	4	8.95
338	4208	3	23.46
104	834	19	7.64
279	101	70	11.33
106	4511	5	9.8
676	265	4	13.65
1485	1696	6	61.72
404	159	5	7.87
2261	128	3	6.74
324	757	5	24.54
105	479	38	29.83
8	3390	3	6.97
404	106	32	8.14
122	925	7	7.31
402	123	13	13.68
4630	108	4	6.98
286	187	5	7.88
533	103	44	70.27
838	106	25	29.58
312	101	64	12.34
1615	136	3	7.34
101	741	29	6.84
16	2	62	10.84
2047	155	5	23.07
1153	108	13	13.66
428	344	3	7.76
258	286	6	16.24
383	1689	3	17.23
402	220	4	9.12
101	605	38	18.33
112	2654	7	15
121	3504	4	9.05
5691	124	3	11.58
966	101	25	16.5
437	106	34	15.44
177	2322	3	13.17
4533	105	5	9.33
463	681	3	11.92
651	248	4	13
157	236	8	11.62
108	222	46	21.32
8	2568	4	9.63
662	412	5	23.98
2417	233	3	15.76
115	324	20	9.44
529	662	3	12.38
172	554	4	7.59
432	12	48	28.11
192	2328	3	14.22
6424	209	3	27.09
361	114	48	105.62
924	109	12	7.9
119	2689	4	6.74
123	7283	3	15.62
628	9	7	7.08
2873	9	5	16.61
3413	176	3	15.43
113	770	12	7.65
441	405	6	26.88
187	377	8	22.88
122	5644	3	10.3
125	116	129	16.61
2539	192	3	14.96
236	122	18	10.15
3627	102	6	8.16
129	2718	3	8.84
411	102	39	8.35
388	453	3	8.98
4303	209	3	20.4
120	7307	3	13.93
3511	12	7	7.65
1518	12	14	6.71
1232	104	13	8.39
634	148	4	7.15
3717	6690	3	46.35
57	16	120	87.2
5183	192	4	35.05
107	1484	16	37.11
212	649	5	17.23
590	405	3	10.36
107	7598	3	6.95
548	244	3	7.14
1017	212	3	9.82
4645	109	4	7.47
187	193	7	8.99
1045	111	10	7.97
731	209	3	7.63
111	4079	4	6.87
106	5539	4	7.84
2025	105	10	9.85
1274	161	3	7.74
1135	101	19	7.13
101	860	26	7.82
21	117	47	7.92
4893	110	4	7.73
109	777	17	15.33
2071	600	4	29.58
1026	280	3	11.32
150	393	6	9.86
108	474	22	11.66
3866	112	5	11.94
869	173	4	11.03
1782	103	12	10.03
206	1983	3	13.53
232	124	21	20.83
129	178	16	10.91
8	2364	5	13.46
203	786	3	7.38
6611	110	3	9.18
415	14	55	6.68
163	189	8	8.52
1455	115	9	12.44
129	229	12	10.81
5050	338	3	25.68
2821	1316	3	27.88
206	2103	3	13.53
623	429	3	10.87
105	1375	12	6.79
191	449	42	329.52
85	367	3	8.18
532	646	3	12.25
116	286	21	8.49
126	3191	5	18.88
16	1303	6	9.95
753	367	3	11.08
244	834	3	9.43
116	184	33	7.54
5535	2	3	12.77
119	1518	6	8.05
4935	1228	4	51.52
116	117	263	53.23
254	2	13	9.76
115	6139	4	14.74
1003	566	5	31.43
149	2084	3	10.52
105	229	58	16.62
117	1035	14	30.85
527	6479	3	32.63
105	280	43	6.81
8	3587	3	8.07
108	7453	3	8.58
277	1240	3	12.83
3761	489	3	24.47
752	773	3	15.21
266	124	12	6.8
105	178	99	41.72
2927	138	3	11.83
1927	130	4	11.22
557	106	33	27.57
981	117	10	12.54
2403	106	9	12.09
452	730	3	12.15
160	584	4	7.53
1899	108	9	13.89
1097	520	3	15.26
3480	12	7	7.65
104	4341	5	8.68
123	140	39	18.08
12	781	25	7.26
1794	113	9	14.93
228	118	24	16.16
6219	107	3	6.95
530	186	4	8.29
116	5147	3	7.41
2778	135	3	10.39
106	1058	20	24.27
4	324	9	40.88
110	2527	7	10.68
122	2393	4	7.13
792	107	18	9.36
1773	107	10	9.44
701	1988	3	20.94
107	145	98	11.62
1329	3508	3	28.9
190	109	49	15.21
211	722	3	7.99
6043	143	3	18.06
1566	4973	4	53.19
3231	350	4	31.01
107	311	43	71.65
146	2199	3	10.2
1633	300	3	14.64
2121	12	12	13.13
2365	192	4	21.74
193	5536	3	21.65
1002	12	21	10.08
1306	113	9	8.83
128	754	7	12.79
2337	102	9	7.15
260	113	30	14.24
255	516	3	7.06
122	102	488	9.77
118	1175	9	16.43
356	1347	3	14.69
314	221	4	7
1159	230	3	10.85
664	223	3	7.5
105	617	26	11.89
1325	107	11	6.71
110	12	1461	105.65
3452	111	5	9.57
103	3657	6	9.55
439	118	15	13.28
383	104	36	10.39
991	102	19	15.48
183	2138	3	12.76
104	379	47	31.3
342	352	3	7.07
101	1252	18	11.87
8	7467	3	15.95
107	6823	3	6.95
105	2512	8	6.92
726	961	3	16.54
105	4427	5	9.33
2127	182	3	12.57
1189	106	16	15.14
142	106	140	42.76
284	510	3	8.28
121	132	65	22.48
130	4014	3	11.85
913	408	6	34.99
338	6459	3	30.17
103	1370	14	8.03
1255	321	3	13.38
119	5367	3	9.21
12	126	523	120.86
123	764	7	6.68
799	124	7	7.57
4740	106	5	9.8
903	136	6	16
417	2	9	8.14
2996	106	6	6.96
12	198	91	11.26
192	3687	3	18.02
179	2448	4	20.63
246	761	3	9.15
177	8	22	10.31
114	106	728	26.33
1443	155	4	13.23
3332	106	7	13.73
143	132	17	8.24
405	628	4	17.7
143	327	10	21.5
8	436	10	8.98
853	338	28	294.03
673	227	3	7.77
216	267	5	9.47
103	112	978	58.87
612	105	24	7.82
442	571	4	16.68
432	927	3	14
333	121	22	22.46
240	1141	4	17.7
483	101	44	14.35
419	1935	3	17.55
5073	105	4	7.46
57	623	11	16.88
167	220	6	6.96
519	269	3	7.61
669	428	3	11.46
124	266	12	6.8
118	354	19	17.25
105	2067	10	9.85
2450	129	3	7.38
2092	12	11	6.87
149	163	11	10.78
1089	114	13	19.85
512	109	21	13.66
108	931	14	10.72
1796	118	6	10.6
3792	111	4	6.87
428	669	3	11.46
357	615	3	10.07
4837	674	3	27.66
559	361	42	461.16
382	264	4	10.23
104	1214	14	7.86
135	2650	3	10.39
355	165	5	8.16
616	491	3	11.83
101	482	45	18.26
154	2437	4	18.04
139	12	212	44.65
382	190	13	53.87
650	109	18	14.04
1020	102	21	14.74
127	1117	5	9.1
401	385	3	7.96
112	2217	6	8.5
1099	259	3	11.78
291	249	5	11.18
102	4671	5	6.8
3615	122	3	6.85
118	158	68	86.11
248	163	6	7.18
112	2321	7	12.73
232	931	3	9.63
6922	107	3	6.95
118	113	237	17.3
106	5842	4	7.84
109	6591	3	8.98
101	306	63	11.92
106	5902	4	7.84
101	107	2440	77.08
576	3324	3	23.98
3665	109	4	7.47
1606	585	3	18.44
2997	125	4	11.49
318	955	6	32.41
101	160	156	11.79
658	807	4	22.56
716	6252	3	34.56
3521	118	5	14.55
8	185	21	10.73
3004	103	8	12.74
2088	103	10	7.51
1561	110	12	20.71
2016	121	6	11.62
315	210	4	6.97
114	559	42	150.22
252	492	3	7
1864	101	13	8.57
321	475	3	7.79
108	2403	7	9.44
226	106	54	11.26
992	3697	6	74.62
2138	8	4	7.87
2772	146	3	11.54
853	382	28	306.1
315	260	4	8.19
161	992	3	6.66
261	278	4	7.57
174	1445	4	15.14
12	1209	18	10.15
123	1839	4	6.78
730	105	24	15.14
104	5751	4	6.95
529	161	6	13.89
1181	103	18	18.08
12	1141	17	6.87
162	205	27	92.72
351	101	61	23.71
2523	117	5	8.58
1181	164	3	7.73
2207	157	3	10.92
386	138	43	254.11
104	5871	4	6.95
113	265	25	6.79
115	651	14	10.48
208	1033	5	21.36
1318	6551	3	38.45
274	272	4	7.56
131	1325	4	8.56
172	998	3	7.28
104	5931	4	6.95
109	2878	6	12.73
294	6479	3	29.24
5045	227	3	23.3
267	5687	3	24.23
541	458	3	10.87
1231	1481	3	22.69
456	119	44	160.12
751	1513	5	38.8
107	970	16	11.2
1484	13	16	120.14
102	1987	11	9.5
948	169	3	6.74
4685	103	5	7.96
107	7080	3	6.95
9	14	675	23.54
978	445	3	13.6
12	372	53	20.21
244	4903	3	21.34
106	245	55	17.93
3678	1077	6	75.24
403	2804	3	19.67
380	241	4	9.45
12	522	34	7.33
3838	110	5	10.39
240	126	17	13.44
106	103	1760	7.65
2106	168	3	11.37
1988	492	3	18.94
4567	103	5	7.96
1043	115	9	7.22
1734	155	3	9.32
111	6906	3	10.29
146	158	21	35.43
2375	158	3	11.81
128	966	6	12.01
4598	113	4	9.26
1129	9	7	12.75
2723	111	6	12.38
626	104	24	7.87
6951	107	3	6.95
3051	204	3	16.3
219	102	66	6.97
117	125	117	22.6
922	181	5	17.73
203	1241	3	10.23
108	2074	10	18.89
105	990	19	15.91
219	244	5	8.52
814	223	3	8.72
2402	208	3	14.91
115	3373	5	10.75
21	1806	3	10.77
1320	1214	3	22.3
104	131	183	11.52
2480	787	3	22.99
238	12	73	12.89
110	553	18	8.85
520	104	29	9.23
6413	190	3	26.08
104	195	83	24.53
982	328	3	12.18
104	277	45	7.21
520	246	3	6.88
449	4	12	68.38
106	4957	4	7.84
12	2890	7	7.65
1106	107	13	7.15
145	2281	3	10.05
106	143	118	15.53
1734	152	3	9.13
295	12	58	10.29
106	209	61	13.99
338	558	3	9.19
3990	113	6	20.82
126	1295	5	8.05
1535	337	3	14.89
12	432	48	28.11
106	309	47	19.52
114	7344	3	10.67
223	569	3	6.92
118	5803	3	9.21
310	135	14	32.36
108	3393	6	11.96
202	305	5	9.05
470	364	4	13.66
6380	1074	3	37.44
640	228	4	12.6
1081	6439	3	37.14
1808	119	6	9.65
104	121	488	7.33
1269	764	3	18.28
17	103	86	13.16
1752	166	3	10
449	101	50	25.73
